Affirmation,Estimation Globale (%),Consensus Scientifique,Notes,Thème,Année,Démographie,France (% d'accord),États-Unis (% d'accord),Brésil (% d'accord),Inde (% d'accord),Italie (% d'accord),Russie (% d'accord),Allemagne (% d'accord),Pologne (% d'accord),Belgique (% d'accord),Canada (% d'accord),Espagne (% d'accord),Royaume-Uni (% d'accord),Turquie (% d'accord)
La Terre est plate,3.5,Faux,"Théorie du complot répandue sur Internet, très faible consensus.",,,,2.1,4.5,6.0,,,,,,,,,,
Le changement climatique est causé par l'humain,76.3,Vrai,Large consensus scientifique. Opinion publique variable selon les régions.,,,,83.0,66.0,,71.0,,,,,,,,,
Les vaccins sont dangereux pour la santé,12.0,Faux,"Consensus scientifique sur la sûreté des vaccins, malgré la méfiance d'une minorité.",,,,16.0,10.5,,,8.0,,,,,,,,
Nous ne sommes jamais allés sur la Lune,11.0,Faux,"Théorie conspirationniste répandue, mais contredite par des preuves scientifiques, techniques et des témoignages internationaux.",,,,9.0,14.0,,,,28.0,,,,,,,
Le virus de la COVID-19 a été créé en laboratoire,35.0,Incertitude,Théorie largement discutée ; les agences de renseignement américaines divergent sur l’origine du virus.,,,,31.0,43.0,,52.0,,,,,,,,,
Les vaccins COVID-19 modifient l’ADN humain,14.0,Faux,Mythe contredit par les agences de santé du monde entier. Aucun vaccin ARN ne modifie l’ADN.,,,,17.0,11.0,20.0,,,,,,,,,,
Le président Emmanuel Macron inspire confiance,24.0,Opinion,Croyance politique. Taux de confiance évolutif selon les contextes et les sondages.,,,,24.0,,,,,,,,,,,,
Le président Emmanuel Macron est de droite,56.0,Opinion,"Selon l’opinion publique, Emmanuel Macron est souvent perçu comme un président de droite, bien que son positionnement soit revendiqué comme central.",,,,56.0,,,,,,,,,,,,
Les élites mondiales veulent réduire la population,21.0,Complot,Narratif conspirationniste récurrent dans les sphères antivax et extrémistes.,,,,18.0,25.0,,,,,,,,,,,
Les vaccins contiennent des puces électroniques pour nous contrôler,8.0,Faux,Aucune preuve scientifique. Théorie du complot sans fondement réel.,,,,,10.0,7.0,,,,,,,,,,
Les réseaux sociaux influencent les résultats des élections,69.0,Vrai,Des études démontrent l’impact significatif des plateformes sociales sur les choix électoraux.,,,,71.0,68.0,,,,,65.0,,,,,,
Le virus du COVID-19 est exagéré par les médias,27.0,Controverse,"Perception courante dans certaines régions, bien que les données médicales contredisent cette idée.",,,,24.0,32.0,,,,,,,,,,,
Le changement climatique est une invention,12.0,Faux,Théorie minoritaire. Contredite par l’ensemble des données scientifiques climatologiques mondiales.,,,,8.0,14.0,,,,,,,,,,,
Le gouvernement nous surveille en permanence via nos téléphones,48.0,Partiellement vrai,"Des dispositifs de surveillance existent, mais pas à l’échelle fantasmée dans les théories complotistes.",,,,47.0,52.0,,,,,,,,,,,
Opinion numéro 11 sur un sujet controversé,25.0,Opinion,Cette opinion est la numéro 11 d'une base synthétique enrichie automatiquement à des fins de test.,,,,21.0,26.0,31.0,,,,,,,,,,
Opinion numéro 12 sur un sujet controversé,27.0,Opinion,Cette opinion est la numéro 12 d'une base synthétique enrichie automatiquement à des fins de test.,,,,22.0,27.0,32.0,,,,,,,,,,
Opinion numéro 13 sur un sujet controversé,29.0,Opinion,Cette opinion est la numéro 13 d'une base synthétique enrichie automatiquement à des fins de test.,,,,23.0,28.0,33.0,,,,,,,,,,
Opinion numéro 14 sur un sujet controversé,24.0,Opinion,Cette opinion est la numéro 14 d'une base synthétique enrichie automatiquement à des fins de test.,,,,24.0,29.0,34.0,,,,,,,,,,
Opinion numéro 15 sur un sujet controversé,26.0,Vrai,Cette opinion est la numéro 15 d'une base synthétique enrichie automatiquement à des fins de test.,,,,25.0,30.0,35.0,,,,,,,,,,
Opinion numéro 16 sur un sujet controversé,28.0,Opinion,Cette opinion est la numéro 16 d'une base synthétique enrichie automatiquement à des fins de test.,,,,26.0,31.0,36.0,,,,,,,,,,
Opinion numéro 17 sur un sujet controversé,30.0,Opinion,Cette opinion est la numéro 17 d'une base synthétique enrichie automatiquement à des fins de test.,,,,27.0,32.0,37.0,,,,,,,,,,
Opinion numéro 18 sur un sujet controversé,32.0,Opinion,Cette opinion est la numéro 18 d'une base synthétique enrichie automatiquement à des fins de test.,,,,28.0,33.0,38.0,,,,,,,,,,
Opinion numéro 19 sur un sujet controversé,34.0,Opinion,Cette opinion est la numéro 19 d'une base synthétique enrichie automatiquement à des fins de test.,,,,29.0,34.0,39.0,,,,,,,,,,
Opinion numéro 20 sur un sujet controversé,36.0,Faux,Cette opinion est la numéro 20 d'une base synthétique enrichie automatiquement à des fins de test.,,,,30.0,35.0,20.0,,,,,,,,,,
Opinion numéro 21 sur un sujet controversé,31.0,Opinion,Cette opinion est la numéro 21 d'une base synthétique enrichie automatiquement à des fins de test.,,,,31.0,36.0,21.0,,,,,,,,,,
Opinion numéro 22 sur un sujet controversé,33.0,Opinion,Cette opinion est la numéro 22 d'une base synthétique enrichie automatiquement à des fins de test.,,,,32.0,37.0,22.0,,,,,,,,,,
Opinion numéro 23 sur un sujet controversé,35.0,Opinion,Cette opinion est la numéro 23 d'une base synthétique enrichie automatiquement à des fins de test.,,,,33.0,38.0,23.0,,,,,,,,,,
Opinion numéro 24 sur un sujet controversé,37.0,Opinion,Cette opinion est la numéro 24 d'une base synthétique enrichie automatiquement à des fins de test.,,,,34.0,39.0,24.0,,,,,,,,,,
Opinion numéro 25 sur un sujet controversé,39.0,Vrai,Cette opinion est la numéro 25 d'une base synthétique enrichie automatiquement à des fins de test.,,,,35.0,15.0,25.0,,,,,,,,,,
Opinion numéro 26 sur un sujet controversé,41.0,Opinion,Cette opinion est la numéro 26 d'une base synthétique enrichie automatiquement à des fins de test.,,,,36.0,16.0,26.0,,,,,,,,,,
Opinion numéro 27 sur un sujet controversé,43.0,Opinion,Cette opinion est la numéro 27 d'une base synthétique enrichie automatiquement à des fins de test.,,,,37.0,17.0,27.0,,,,,,,,,,
Opinion numéro 28 sur un sujet controversé,38.0,Opinion,Cette opinion est la numéro 28 d'une base synthétique enrichie automatiquement à des fins de test.,,,,38.0,18.0,28.0,,,,,,,,,,
Opinion numéro 29 sur un sujet controversé,40.0,Opinion,Cette opinion est la numéro 29 d'une base synthétique enrichie automatiquement à des fins de test.,,,,39.0,19.0,29.0,,,,,,,,,,
Opinion numéro 30 sur un sujet controversé,42.0,Faux,Cette opinion est la numéro 30 d'une base synthétique enrichie automatiquement à des fins de test.,,,,10.0,20.0,30.0,,,,,,,,,,
Opinion numéro 31 sur un sujet controversé,44.0,Opinion,Cette opinion est la numéro 31 d'une base synthétique enrichie automatiquement à des fins de test.,,,,11.0,21.0,31.0,,,,,,,,,,
Opinion numéro 32 sur un sujet controversé,46.0,Opinion,Cette opinion est la numéro 32 d'une base synthétique enrichie automatiquement à des fins de test.,,,,12.0,22.0,32.0,,,,,,,,,,
Opinion numéro 33 sur un sujet controversé,48.0,Opinion,Cette opinion est la numéro 33 d'une base synthétique enrichie automatiquement à des fins de test.,,,,13.0,23.0,33.0,,,,,,,,,,
Opinion numéro 34 sur un sujet controversé,50.0,Opinion,Cette opinion est la numéro 34 d'une base synthétique enrichie automatiquement à des fins de test.,,,,14.0,24.0,34.0,,,,,,,,,,
Opinion numéro 35 sur un sujet controversé,45.0,Vrai,Cette opinion est la numéro 35 d'une base synthétique enrichie automatiquement à des fins de test.,,,,15.0,25.0,35.0,,,,,,,,,,
Opinion numéro 36 sur un sujet controversé,47.0,Opinion,Cette opinion est la numéro 36 d'une base synthétique enrichie automatiquement à des fins de test.,,,,16.0,26.0,36.0,,,,,,,,,,
Opinion numéro 37 sur un sujet controversé,49.0,Opinion,Cette opinion est la numéro 37 d'une base synthétique enrichie automatiquement à des fins de test.,,,,17.0,27.0,37.0,,,,,,,,,,
Opinion numéro 38 sur un sujet controversé,51.0,Opinion,Cette opinion est la numéro 38 d'une base synthétique enrichie automatiquement à des fins de test.,,,,18.0,28.0,38.0,,,,,,,,,,
Opinion numéro 39 sur un sujet controversé,53.0,Opinion,Cette opinion est la numéro 39 d'une base synthétique enrichie automatiquement à des fins de test.,,,,19.0,29.0,39.0,,,,,,,,,,
Opinion numéro 40 sur un sujet controversé,55.0,Faux,Cette opinion est la numéro 40 d'une base synthétique enrichie automatiquement à des fins de test.,,,,20.0,30.0,20.0,,,,,,,,,,
Opinion numéro 41 sur un sujet controversé,57.0,Opinion,Cette opinion est la numéro 41 d'une base synthétique enrichie automatiquement à des fins de test.,,,,21.0,31.0,21.0,,,,,,,,,,
Opinion numéro 42 sur un sujet controversé,52.0,Opinion,Cette opinion est la numéro 42 d'une base synthétique enrichie automatiquement à des fins de test.,,,,22.0,32.0,22.0,,,,,,,,,,
Opinion numéro 43 sur un sujet controversé,54.0,Opinion,Cette opinion est la numéro 43 d'une base synthétique enrichie automatiquement à des fins de test.,,,,23.0,33.0,23.0,,,,,,,,,,
Opinion numéro 44 sur un sujet controversé,56.0,Opinion,Cette opinion est la numéro 44 d'une base synthétique enrichie automatiquement à des fins de test.,,,,24.0,34.0,24.0,,,,,,,,,,
Opinion numéro 45 sur un sujet controversé,58.0,Vrai,Cette opinion est la numéro 45 d'une base synthétique enrichie automatiquement à des fins de test.,,,,25.0,35.0,25.0,,,,,,,,,,
Opinion numéro 46 sur un sujet controversé,60.0,Opinion,Cette opinion est la numéro 46 d'une base synthétique enrichie automatiquement à des fins de test.,,,,26.0,36.0,26.0,,,,,,,,,,
Opinion numéro 47 sur un sujet controversé,62.0,Opinion,Cette opinion est la numéro 47 d'une base synthétique enrichie automatiquement à des fins de test.,,,,27.0,37.0,27.0,,,,,,,,,,
Opinion numéro 48 sur un sujet controversé,64.0,Opinion,Cette opinion est la numéro 48 d'une base synthétique enrichie automatiquement à des fins de test.,,,,28.0,38.0,28.0,,,,,,,,,,
Opinion numéro 49 sur un sujet controversé,59.0,Opinion,Cette opinion est la numéro 49 d'une base synthétique enrichie automatiquement à des fins de test.,,,,29.0,39.0,29.0,,,,,,,,,,
Opinion numéro 50 sur un sujet controversé,61.0,Faux,Cette opinion est la numéro 50 d'une base synthétique enrichie automatiquement à des fins de test.,,,,30.0,15.0,30.0,,,,,,,,,,
Opinion numéro 51 sur un sujet controversé,63.0,Opinion,Cette opinion est la numéro 51 d'une base synthétique enrichie automatiquement à des fins de test.,,,,31.0,16.0,31.0,,,,,,,,,,
Opinion numéro 52 sur un sujet controversé,65.0,Opinion,Cette opinion est la numéro 52 d'une base synthétique enrichie automatiquement à des fins de test.,,,,32.0,17.0,32.0,,,,,,,,,,
Opinion numéro 53 sur un sujet controversé,67.0,Opinion,Cette opinion est la numéro 53 d'une base synthétique enrichie automatiquement à des fins de test.,,,,33.0,18.0,33.0,,,,,,,,,,
Opinion numéro 54 sur un sujet controversé,69.0,Opinion,Cette opinion est la numéro 54 d'une base synthétique enrichie automatiquement à des fins de test.,,,,34.0,19.0,34.0,,,,,,,,,,
Opinion numéro 55 sur un sujet controversé,71.0,Vrai,Cette opinion est la numéro 55 d'une base synthétique enrichie automatiquement à des fins de test.,,,,35.0,20.0,35.0,,,,,,,,,,
Opinion numéro 56 sur un sujet controversé,66.0,Opinion,Cette opinion est la numéro 56 d'une base synthétique enrichie automatiquement à des fins de test.,,,,36.0,21.0,36.0,,,,,,,,,,
Opinion numéro 57 sur un sujet controversé,68.0,Opinion,Cette opinion est la numéro 57 d'une base synthétique enrichie automatiquement à des fins de test.,,,,37.0,22.0,37.0,,,,,,,,,,
Opinion numéro 58 sur un sujet controversé,70.0,Opinion,Cette opinion est la numéro 58 d'une base synthétique enrichie automatiquement à des fins de test.,,,,38.0,23.0,38.0,,,,,,,,,,
Opinion numéro 59 sur un sujet controversé,72.0,Opinion,Cette opinion est la numéro 59 d'une base synthétique enrichie automatiquement à des fins de test.,,,,39.0,24.0,39.0,,,,,,,,,,
Opinion numéro 60 sur un sujet controversé,14.0,Faux,Cette opinion est la numéro 60 d'une base synthétique enrichie automatiquement à des fins de test.,,,,10.0,25.0,20.0,,,,,,,,,,
Opinion numéro 61 sur un sujet controversé,16.0,Opinion,Cette opinion est la numéro 61 d'une base synthétique enrichie automatiquement à des fins de test.,,,,11.0,26.0,21.0,,,,,,,,,,
Opinion numéro 62 sur un sujet controversé,18.0,Opinion,Cette opinion est la numéro 62 d'une base synthétique enrichie automatiquement à des fins de test.,,,,12.0,27.0,22.0,,,,,,,,,,
Opinion numéro 63 sur un sujet controversé,13.0,Opinion,Cette opinion est la numéro 63 d'une base synthétique enrichie automatiquement à des fins de test.,,,,13.0,28.0,23.0,,,,,,,,,,
Opinion numéro 64 sur un sujet controversé,15.0,Opinion,Cette opinion est la numéro 64 d'une base synthétique enrichie automatiquement à des fins de test.,,,,14.0,29.0,24.0,,,,,,,,,,
Opinion numéro 65 sur un sujet controversé,17.0,Vrai,Cette opinion est la numéro 65 d'une base synthétique enrichie automatiquement à des fins de test.,,,,15.0,30.0,25.0,,,,,,,,,,
Opinion numéro 66 sur un sujet controversé,19.0,Opinion,Cette opinion est la numéro 66 d'une base synthétique enrichie automatiquement à des fins de test.,,,,16.0,31.0,26.0,,,,,,,,,,
Opinion numéro 67 sur un sujet controversé,21.0,Opinion,Cette opinion est la numéro 67 d'une base synthétique enrichie automatiquement à des fins de test.,,,,17.0,32.0,27.0,,,,,,,,,,
Opinion numéro 68 sur un sujet controversé,23.0,Opinion,Cette opinion est la numéro 68 d'une base synthétique enrichie automatiquement à des fins de test.,,,,18.0,33.0,28.0,,,,,,,,,,
Opinion numéro 69 sur un sujet controversé,25.0,Opinion,Cette opinion est la numéro 69 d'une base synthétique enrichie automatiquement à des fins de test.,,,,19.0,34.0,29.0,,,,,,,,,,
Opinion numéro 70 sur un sujet controversé,20.0,Faux,Cette opinion est la numéro 70 d'une base synthétique enrichie automatiquement à des fins de test.,,,,20.0,35.0,30.0,,,,,,,,,,
Opinion numéro 71 sur un sujet controversé,22.0,Opinion,Cette opinion est la numéro 71 d'une base synthétique enrichie automatiquement à des fins de test.,,,,21.0,36.0,31.0,,,,,,,,,,
Opinion numéro 72 sur un sujet controversé,24.0,Opinion,Cette opinion est la numéro 72 d'une base synthétique enrichie automatiquement à des fins de test.,,,,22.0,37.0,32.0,,,,,,,,,,
Opinion numéro 73 sur un sujet controversé,26.0,Opinion,Cette opinion est la numéro 73 d'une base synthétique enrichie automatiquement à des fins de test.,,,,23.0,38.0,33.0,,,,,,,,,,
Opinion numéro 74 sur un sujet controversé,28.0,Opinion,Cette opinion est la numéro 74 d'une base synthétique enrichie automatiquement à des fins de test.,,,,24.0,39.0,34.0,,,,,,,,,,
Opinion numéro 75 sur un sujet controversé,30.0,Vrai,Cette opinion est la numéro 75 d'une base synthétique enrichie automatiquement à des fins de test.,,,,25.0,15.0,35.0,,,,,,,,,,
Opinion numéro 76 sur un sujet controversé,32.0,Opinion,Cette opinion est la numéro 76 d'une base synthétique enrichie automatiquement à des fins de test.,,,,26.0,16.0,36.0,,,,,,,,,,
Opinion numéro 77 sur un sujet controversé,27.0,Opinion,Cette opinion est la numéro 77 d'une base synthétique enrichie automatiquement à des fins de test.,,,,27.0,17.0,37.0,,,,,,,,,,
Opinion numéro 78 sur un sujet controversé,29.0,Opinion,Cette opinion est la numéro 78 d'une base synthétique enrichie automatiquement à des fins de test.,,,,28.0,18.0,38.0,,,,,,,,,,
Opinion numéro 79 sur un sujet controversé,31.0,Opinion,Cette opinion est la numéro 79 d'une base synthétique enrichie automatiquement à des fins de test.,,,,29.0,19.0,39.0,,,,,,,,,,
Opinion numéro 80 sur un sujet controversé,33.0,Faux,Cette opinion est la numéro 80 d'une base synthétique enrichie automatiquement à des fins de test.,,,,30.0,20.0,20.0,,,,,,,,,,
Opinion numéro 81 sur un sujet controversé,35.0,Opinion,Cette opinion est la numéro 81 d'une base synthétique enrichie automatiquement à des fins de test.,,,,31.0,21.0,21.0,,,,,,,,,,
Opinion numéro 82 sur un sujet controversé,37.0,Opinion,Cette opinion est la numéro 82 d'une base synthétique enrichie automatiquement à des fins de test.,,,,32.0,22.0,22.0,,,,,,,,,,
Opinion numéro 83 sur un sujet controversé,39.0,Opinion,Cette opinion est la numéro 83 d'une base synthétique enrichie automatiquement à des fins de test.,,,,33.0,23.0,23.0,,,,,,,,,,
Opinion numéro 84 sur un sujet controversé,34.0,Opinion,Cette opinion est la numéro 84 d'une base synthétique enrichie automatiquement à des fins de test.,,,,34.0,24.0,24.0,,,,,,,,,,
Opinion numéro 85 sur un sujet controversé,36.0,Vrai,Cette opinion est la numéro 85 d'une base synthétique enrichie automatiquement à des fins de test.,,,,35.0,25.0,25.0,,,,,,,,,,
Opinion numéro 86 sur un sujet controversé,38.0,Opinion,Cette opinion est la numéro 86 d'une base synthétique enrichie automatiquement à des fins de test.,,,,36.0,26.0,26.0,,,,,,,,,,
Opinion numéro 87 sur un sujet controversé,40.0,Opinion,Cette opinion est la numéro 87 d'une base synthétique enrichie automatiquement à des fins de test.,,,,37.0,27.0,27.0,,,,,,,,,,
Opinion numéro 88 sur un sujet controversé,42.0,Opinion,Cette opinion est la numéro 88 d'une base synthétique enrichie automatiquement à des fins de test.,,,,38.0,28.0,28.0,,,,,,,,,,
Opinion numéro 89 sur un sujet controversé,44.0,Opinion,Cette opinion est la numéro 89 d'une base synthétique enrichie automatiquement à des fins de test.,,,,39.0,29.0,29.0,,,,,,,,,,
Opinion numéro 90 sur un sujet controversé,46.0,Faux,Cette opinion est la numéro 90 d'une base synthétique enrichie automatiquement à des fins de test.,,,,10.0,30.0,30.0,,,,,,,,,,
Opinion numéro 91 sur un sujet controversé,41.0,Opinion,Cette opinion est la numéro 91 d'une base synthétique enrichie automatiquement à des fins de test.,,,,11.0,31.0,31.0,,,,,,,,,,
Opinion numéro 92 sur un sujet controversé,43.0,Opinion,Cette opinion est la numéro 92 d'une base synthétique enrichie automatiquement à des fins de test.,,,,12.0,32.0,32.0,,,,,,,,,,
Opinion numéro 93 sur un sujet controversé,45.0,Opinion,Cette opinion est la numéro 93 d'une base synthétique enrichie automatiquement à des fins de test.,,,,13.0,33.0,33.0,,,,,,,,,,
Opinion numéro 94 sur un sujet controversé,47.0,Opinion,Cette opinion est la numéro 94 d'une base synthétique enrichie automatiquement à des fins de test.,,,,14.0,34.0,34.0,,,,,,,,,,
Opinion numéro 95 sur un sujet controversé,49.0,Vrai,Cette opinion est la numéro 95 d'une base synthétique enrichie automatiquement à des fins de test.,,,,15.0,35.0,35.0,,,,,,,,,,
Opinion numéro 96 sur un sujet controversé,51.0,Opinion,Cette opinion est la numéro 96 d'une base synthétique enrichie automatiquement à des fins de test.,,,,16.0,36.0,36.0,,,,,,,,,,
Opinion numéro 97 sur un sujet controversé,53.0,Opinion,Cette opinion est la numéro 97 d'une base synthétique enrichie automatiquement à des fins de test.,,,,17.0,37.0,37.0,,,,,,,,,,
Opinion numéro 98 sur un sujet controversé,48.0,Opinion,Cette opinion est la numéro 98 d'une base synthétique enrichie automatiquement à des fins de test.,,,,18.0,38.0,38.0,,,,,,,,,,
Opinion numéro 99 sur un sujet controversé,50.0,Opinion,Cette opinion est la numéro 99 d'une base synthétique enrichie automatiquement à des fins de test.,,,,19.0,39.0,39.0,,,,,,,,,,
Opinion numéro 100 sur un sujet controversé,52.0,Faux,Cette opinion est la numéro 100 d'une base synthétique enrichie automatiquement à des fins de test.,,,,20.0,15.0,20.0,,,,,,,,,,
L'avortement devrait être illégal,29.0,Controverse morale,"Légal dans la majorité des pays occidentaux, mais l'opinion publique est très divisée notamment aux États-Unis.",,,,13.0,44.0,,,,,,41.0,,,,,
Emmanuel Macron est crédible sur l'écologie,26.0,Opinion politique,"Opinion partagée sur l'engagement écologique du président Macron, jugé trop modéré par certains.",,,,26.0,,,,,,,,21.0,,,,
La justice est équitable en France,37.0,Opinion,Une majorité des Français expriment des doutes sur l’impartialité du système judiciaire.,,,,37.0,,,,,,53.0,,,,,,
Il est normal de refuser des soins si l'on est non vacciné,18.0,Débat éthique,Débat moral apparu pendant la pandémie de COVID-19. Légalement non applicable en France.,,,,18.0,,,,21.0,,,,,,,,
Les médecins sont influencés par les laboratoires pharmaceutiques,62.0,Partiellement vrai,La majorité des citoyens pensent qu'il existe des conflits d’intérêt dans le monde médical.,,,,66.0,59.0,,,,,,,,,,,
Il y a trop d'immigration en France,54.0,Opinion,L'immigration est perçue comme excessive par une majorité de Français selon les sondages récents.,,,,62.0,,,,59.0,,48.0,,,,,,
L’école ne prépare pas bien à la vie,67.0,Opinion,Critique fréquente dans de nombreux pays sur le décalage entre l’enseignement scolaire et les réalités de la vie adulte.,,,,72.0,,,,,,,,,68.0,61.0,,
Les religions ont plus divisé que rassemblé,58.0,Opinion philosophique,Une majorité considère que les religions ont été source de conflits plus que d’unité.,,,,64.0,47.0,,,,,,,,,,55.0,
Il faut rétablir la peine de mort pour certains crimes,39.0,Controverse morale,"Bien que la peine de mort ait été abolie dans de nombreux pays, une part importante de la population y reste favorable.",,,,44.0,54.0,,,,,,,,,,,68.0
